,artist,album,year
257,Tozé Brito,A memória do amor,2018
424,Trovante,Ao vivo na Aula Magna 1983,2006
447,Trovante,O melhor dos Trovante,2010
439,UHF,Sou benfica,2005
591,UHF,Porquê?,2010
401,UHF,Ao norte Unplugged,2012
478,UHF,A minha geração,2013
612,UHF,O melhor de 300 canções,2015
623,UHF,A herança do andarilho,2017
636,UHF,Ares e bares de fronteira,2018
637,UHF,Persona non grata,2018
638,UHF,Ao Vivo Em Almada,2018
236,União Das Tribos,Amanhã,2017
618,Virgem Suta,Virgem Suta,2010
428,Virgem Suta,Doce lar,2012
169,Virgul,Saber aceitar,2018
231,Vitorino,Tudo,2006
440,Vitorino,As mais bonitas 2 : ao alcance da mão,2006
597,Vitorino,Tango,2009
108,Xana Toc Toc,A festa é nossa!,2013
111,Xana Toc Toc,Xana Toc Toc,2013
119,Xana Toc Toc,Na aldeia colorida,2014
192,Xana Toc Toc,Xana Toc Toc no seu trolipop,2015
351,Xana Toc Toc,Na selva,2017
465,Xana Toc Toc,Rádio Toc Toc,2019
246,Xeg,Visão clara,2014
438,Xutos & Pontapés,O mundo ao contrario,2004
360,Xutos & Pontapés,Xutos & Pontapés,2009
74,Xutos & Pontapés,Ao vivo 1988,2010
204,Xutos & Pontapés,Puro,2014
125,Xutos & Pontapés,35,2015
152,Xutos & Pontapés,Se me amas,2017
240,Xutos & Pontapés,Vida malvada,2018
230,Xutos & Pontapés,Duro,2019
645,Xutos & Pontapés,40 anos a dar no duro,2019
85,Zeca Sempre,O que faz falta,2011
532,Zé Amaro,O meu caminho,2016
533,Zé Amaro,A minha estrada,2019
558,Zé Amaro,Homem de sonhos,2019
641,Zé Pedro,Convidado: Zé Pedro,2011
477,Zé do Pipo,GPS,2010
534,Ágata,Abandonada,2005
539,Ágata,Anos de luz,2007
642,Átoa,Idade dos inquietos,2015
